,Unnamed: 0,Date,Opponent,Segment,Arena,Location,Attendance
0,0,"June 29, 1997",Phoenix Mercury,Regular season,Madison Square Garden,"New York, NY",17780
1,1,"July 2, 1997",Houston Comets,Regular season,Madison Square Garden,"New York, NY",8792
2,2,"July 10, 1997",Charlotte Sting,Regular season,Madison Square Garden,"New York, NY",9951
3,3,"July 15, 1997",Cleveland Rockers,Regular season,Madison Square Garden,"New York, NY",8554
4,4,"July 17, 1997",Utah Starzz,Regular season,Madison Square Garden,"New York, NY",9017
5,5,"July 19, 1997",Los Angeles Sparks,Regular season,Madison Square Garden,"New York, NY",16236
6,6,"July 22, 1997",Utah Starzz,Regular season,Madison Square Garden,"New York, NY",9011
7,7,"July 26, 1997",Charlotte Sting,Regular season,Madison Square Garden,"New York, NY",11502
8,8,"July 30, 1997",Sacramento Monarchs,Regular season,Madison Square Garden,"New York, NY",11934
9,9,"August 2, 1997",Phoenix Mercury,Regular season,Madison Square Garden,"New York, NY",14660
10,10,"August 5, 1997",Los Angeles Sparks,Regular season,Madison Square Garden,"New York, NY",16944
11,11,"August 15, 1997",Sacramento Monarchs,Regular season,Madison Square Garden,"New York, NY",15855
12,12,"August 17, 1997",Houston Comets,Regular season,Madison Square Garden,"New York, NY",17499
13,13,"August 24, 1997",Cleveland Rockers,Regular season,Madison Square Garden,"New York, NY",18051
14,0,"June 21, 1998",Utah Starzz,Regular season,Madison Square Garden,"New York, NY",15754
15,1,"June 23, 1998",Cleveland Rockers,Regular season,Madison Square Garden,"New York, NY",12402
16,2,"June 26, 1998",Sacramento Monarchs,Regular season,Madison Square Garden,"New York, NY",13877
17,3,"June 29, 1998",Phoenix Mercury,Regular season,Madison Square Garden,"New York, NY",12683
18,4,"July 3, 1998",Washington Mystics,Regular season,Madison Square Garden,"New York, NY",12479
19,5,"July 6, 1998",Detroit Shock,Regular season,Madison Square Garden,"New York, NY",11276
20,6,"July 8, 1998",Houston Comets,Regular season,Madison Square Garden,"New York, NY",17404
21,7,"July 12, 1998",Charlotte Sting,Regular season,Madison Square Garden,"New York, NY",14483
22,8,"July 26, 1998",Detroit Shock,Regular season,Madison Square Garden,"New York, NY",15114
23,9,"August 2, 1998",Charlotte Sting,Regular season,Madison Square Garden,"New York, NY",14684
24,10,"August 8, 1998",Los Angeles Sparks,Regular season,Madison Square Garden,"New York, NY",18014
25,11,"August 11, 1998",Phoenix Mercury,Regular season,Madison Square Garden,"New York, NY",15524
26,12,"August 13, 1998",Washington Mystics,Regular season,Madison Square Garden,"New York, NY",13371
27,13,"August 15, 1998",Houston Comets,Regular season,Madison Square Garden,"New York, NY",19563
28,14,"August 17, 1998",Cleveland Rockers,Regular season,Madison Square Garden,"New York, NY",17396
29,0,"June 10, 1999",Cleveland Rockers,Regular season,Madison Square Garden,"New York, NY",12411
30,1,"June 14, 1999",Washington Mystics,Regular season,Madison Square Garden,"New York, NY",12563
31,2,"June 18, 1999",Los Angeles Sparks,Regular season,Madison Square Garden,"New York, NY",13587
32,3,"June 20, 1999",Detroit Shock,Regular season,Madison Square Garden,"New York, NY",11902
33,4,"June 27, 1999",Charlotte Sting,Regular season,Madison Square Garden,"New York, NY",13337
34,5,"July 1, 1999",Phoenix Mercury,Regular season,Madison Square Garden,"New York, NY",13739
35,6,"July 5, 1999",Sacramento Monarchs,Regular season,Madison Square Garden,"New York, NY",10940
36,7,"July 11, 1999",Minnesota Lynx,Regular season,Madison Square Garden,"New York, NY",12975
37,8,"July 18, 1999",Utah Starzz,Regular season,Madison Square Garden,"New York, NY",14107
38,9,"July 20, 1999",Orlando Miracle,Regular season,Madison Square Garden,"New York, NY",11902
39,10,"July 26, 1999",Charlotte Sting,Regular season,Madison Square Garden,"New York, NY",14778
40,11,"August 1, 1999",Orlando Miracle,Regular season,Madison Square Garden,"New York, NY",14719
41,12,"August 8, 1999",Houston Comets,Regular season,Madison Square Garden,"New York, NY",19563
42,13,"August 15, 1999",Detroit Shock,Regular season,Madison Square Garden,"New York, NY",15755
43,14,"August 17, 1999",Washington Mystics,Regular season,Madison Square Garden,"New York, NY",15688
44,15,"August 19, 1999",Cleveland Rockers,Regular season,Madison Square Garden,"New York, NY",16782
45,16,"August 29, 1999",Charlotte Sting,Eastern Conference Finals,Madison Square Garden,"New York, NY",13510
46,17,"August 30, 1999",Charlotte Sting,Eastern Conference Finals,Madison Square Garden,"New York, NY",12929
